,grid,n_agents,n_hectares
0,grid_-45.1_169.2,114,8489
1,grid_-45.1_170.8,231,27713
2,grid_-39.3_174.8,11,827
3,grid_-39.7_175.8,116,20050
4,grid_-39.7_174.4,142,8703
5,grid_-45.7_169.6,9,5253
6,grid_-38.3_177.6,6,608
7,grid_-37.3_174.4,14,735
8,grid_-38.9_175.8,4,230
9,grid_-38.5_175.4,20,8709
10,grid_-43.1_171.8,3,5870
11,grid_-41.9_172.4,27,2746
12,grid_-38.3_176.4,29,3911
13,grid_-41.7_172.4,16,936
14,grid_-35.7_174.2,305,18563
15,grid_-36.5_174.0,14,1789
16,grid_-43.3_172.8,3,358
17,grid_-35.1_173.4,103,7013
18,grid_-44.5_171.0,378,27874
19,grid_-38.5_176.4,83,7832
20,grid_-39.9_174.2,1,28
21,grid_-34.7_173.0,9,1258
22,grid_-43.1_170.6,29,2933
23,grid_-44.1_171.0,109,9283
24,grid_-45.1_170.0,56,18490
25,grid_-41.5_172.0,23,1605
26,grid_-44.7_170.4,33,14313
27,grid_-39.3_173.6,50,2881
28,grid_-43.5_171.2,9,4366
29,grid_-39.5_176.6,158,17753
30,grid_-39.3_178.0,1,10
31,grid_-35.5_173.8,279,18591
32,grid_-41.1_173.4,1,12
33,grid_-38.5_177.8,98,9343
34,grid_-36.5_174.2,65,8384
35,grid_-39.3_175.0,19,537
36,grid_-41.3_172.6,4,15
37,grid_-42.9_173.4,2,193
38,grid_-37.7_176.0,129,2865
39,grid_-46.5_169.8,11,1329
40,grid_-41.9_173.2,11,280
41,grid_-38.5_176.8,35,2529
42,grid_-36.5_174.4,292,16600
43,grid_-37.9_174.6,14,539
44,grid_-38.1_175.0,242,16717
45,grid_-43.5_172.0,272,28364
46,grid_-43.9_170.8,10,5059
47,grid_-44.9_168.6,3,1063
48,grid_-43.1_171.2,1,2
49,grid_-39.3_173.8,294,21298
50,grid_-44.1_169.8,3,385
51,grid_-40.3_175.2,259,25197
52,grid_-41.7_171.8,12,423
53,grid_-41.9_174.0,113,15626
54,grid_-38.7_176.8,5,434
55,grid_-46.1_168.2,175,25858
56,grid_-39.7_176.4,176,26885
57,grid_-40.5_176.2,96,16946
58,grid_-45.1_169.0,101,4857
59,grid_-36.7_174.2,99,6731
60,grid_-46.7_169.4,38,5616
61,grid_-42.1_171.4,4,181
62,grid_-38.1_176.0,168,11343
63,grid_-40.3_176.4,118,25016
64,grid_-44.7_169.8,13,7595
65,grid_-37.9_175.0,325,17053
66,grid_-42.5_171.6,32,4349
67,grid_-45.3_170.4,26,6242
68,grid_-40.3_176.2,156,20920
69,grid_-45.3_170.0,126,28888
70,grid_-34.9_173.4,2,53
71,grid_-39.1_177.6,76,7923
72,grid_-40.7_175.2,351,20071
73,grid_-45.1_168.8,86,3991
74,grid_-41.9_174.2,6,1979
75,grid_-40.5_176.6,41,3907
76,grid_-46.1_170.2,112,4870
77,grid_-37.9_176.0,317,10669
78,grid_-38.9_174.8,23,3902
79,grid_-35.9_173.4,19,2345
80,grid_-43.5_169.8,16,2697
81,grid_-38.9_175.2,166,15277
82,grid_-43.1_172.2,14,6861
83,grid_-41.9_172.0,4,158
84,grid_-43.5_170.6,1,29
85,grid_-43.1_171.0,33,3247
86,grid_-41.3_173.8,22,1122
87,grid_-37.3_175.4,284,17915
88,grid_-39.5_173.6,39,2413
89,grid_-43.9_170.2,2,1885
90,grid_-45.1_168.6,116,5171
91,grid_-46.1_169.8,70,12316
92,grid_-39.5_175.2,155,18166
93,grid_-37.1_174.4,26,723
94,grid_-42.3_172.2,24,3600
95,grid_-38.3_176.2,115,11561
96,grid_-35.7_174.0,253,23082
97,grid_-46.5_168.8,169,24580
98,grid_-40.9_176.2,10,673
